,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,80,US,1554209902,87,19.71,-155.08,66.99,1.99
1,La Ronge,20,CA,1554206400,66,55.1,-105.3,15.8,6.93
2,Benguela,0,AO,1554209929,89,-12.58,13.4,85.77,7.99
3,Vardo,5,US,1554209935,74,39.62,-77.74,41,4.63
4,Chapais,90,CA,1554206400,85,49.78,-74.86,21.2,11.41
5,Tura,8,IN,1554209959,94,25.52,90.21,66.24,2.62
6,Cotonou,40,BJ,1554206400,75,6.37,2.43,89.6,8.05
7,Ushuaia,75,AR,1554206400,87,-54.81,-68.31,48.2,14.99
8,North Bend,90,US,1554209735,100,43.41,-124.22,53.01,3.36
9,Albany,40,US,1554209783,50,42.65,-73.75,37,9.17
10,Atuona,76,PF,1554210010,99,-9.8,-139.03,82.26,11.01
11,Kapaa,90,US,1554209897,83,22.08,-159.32,71.6,14.99
12,Arraial do Cabo,20,BR,1554206400,69,-22.97,-42.02,80.6,5.82
13,Carnarvon,0,ZA,1554210041,11,-30.97,22.13,75.33,4.63
14,Tuktoyaktuk,64,CA,1554210052,81,69.44,-133.03,10.62,16.37
15,Severo-Kurilsk,80,RU,1554210062,98,50.68,156.12,31.14,12.8
16,Puerto Ayora,20,EC,1554209286,88,-0.74,-90.35,77,2.24
17,Nishihara,0,JP,1554210066,48,35.74,139.53,46,17.22
18,Yellowknife,20,CA,1554209510,77,62.45,-114.38,-0.01,9.17
19,Kavaratti,0,IN,1554209962,100,10.57,72.64,83.79,10.78
20,Vaini,40,IN,1554206400,34,15.34,74.49,93.2,6.93
21,Vaitape,76,PF,1554210123,97,-16.52,-151.75,84.87,8.66
22,Boende,76,CD,1554210133,75,-0.28,20.88,85.32,2.39
23,Bluff,64,AU,1554210143,52,-23.58,149.07,76.32,11.45
24,Mataura,24,NZ,1554210007,89,-46.19,168.86,48.99,4.29
25,Provideniya,20,RU,1554210164,97,64.42,-173.23,24.75,9.22
26,Zhigansk,36,RU,1554210174,73,66.77,123.37,27.45,7.76
27,Naron,40,ES,1554210078,71,43.52,-8.15,57,8.05
28,Dudinka,80,RU,1554210194,86,69.41,86.18,26.19,11.68
29,Neuquen,0,AR,1554206400,52,-38.95,-68.06,68,10.29
30,Ostrovnoy,0,RU,1554210215,92,68.05,39.51,28.62,11.68
31,Port Blair,0,IN,1554210095,100,11.67,92.75,84.69,4.18
32,Grindavik,20,IS,1554208200,100,63.84,-22.43,32,20.8
33,Bredasdorp,75,ZA,1554209179,53,-34.53,20.04,72,23.04
34,Coquimbo,90,CL,1554206400,87,-29.95,-71.34,59,3.36
35,Yulara,0,AU,1554206400,13,-25.24,130.99,73.4,8.05
36,Khatanga,88,RU,1554210276,87,71.98,102.47,24.21,12.35
37,Bethel,1,US,1554206160,92,60.79,-161.76,28.4,5.82
38,Cape Town,0,ZA,1554210190,27,-33.93,18.42,79,9.17
39,Castro,20,CL,1554206400,87,-42.48,-73.76,50,9.17
40,Ghanzi,80,BW,1554210318,61,-21.7,21.65,76.77,7.31
41,Port Alfred,44,ZA,1554210238,83,-33.59,26.89,64,5.01
42,Kodiak,90,US,1554210228,93,39.95,-94.76,39.99,13.87
43,Rikitea,64,PF,1554210348,100,-23.12,-134.97,75.87,14.03
44,Miguel Hidalgo,20,MX,1554205560,50,19.41,-99.19,53.6,4.7
45,Kununurra,0,AU,1554208200,64,-15.77,128.74,71.6,8.55
46,Avarua,24,CK,1554208200,78,-21.21,-159.78,78.8,17.22
47,Wheatley,1,CA,1554210368,69,42.09,-82.46,39,9.17
48,Fairbanks,1,US,1554210133,86,64.84,-147.72,32,5.82
49,Balabac,20,PH,1554210409,98,7.99,117.06,83.43,9.1
50,Nuevo Progreso,90,US,1554210141,87,26.05,-97.95,55.99,5.82
51,Tiksi,0,RU,1554210429,74,71.64,128.87,7.56,2.73
52,Shitanjing,44,CN,1554210381,4,39.23,106.34,55,3
53,New Norfolk,0,AU,1554210094,58,-42.78,147.06,57.2,8.05
54,Sinjar,88,SY,1554210460,95,35.59,37,55.44,12.68
55,Klaksvik,36,FO,1554207600,100,62.23,-6.59,39.2,25.28
56,Kahului,1,US,1554210280,93,20.89,-156.47,69.01,11.41
57,Manaquiri,75,BR,1554206400,83,-3.43,-60.46,82.4,8.05
58,Rio Grande,40,BR,1554206400,88,-32.03,-52.1,73.4,4.7
59,Chokurdakh,64,RU,1554210511,74,70.62,147.9,5.85,7.65
60,Kant,0,KG,1554208200,62,42.89,74.85,53.6,6.71
61,Kenai,90,US,1554210124,92,60.55,-151.26,28,1.95
62,Ilulissat,75,GL,1554205800,49,69.22,-51.1,24.8,4.7
63,Sudak,12,UA,1554210552,83,44.85,34.97,49.14,13.47
64,Tema,20,GH,1554206400,55,5.66,-0.01,91.4,12.75
65,Makat,92,KZ,1554210572,95,47.65,53.35,47.97,16.49
66,Katsuura,75,JP,1554210255,81,33.93,134.5,45,10.29
67,Humberto de Campos,8,BR,1554210592,100,-2.6,-43.46,80.1,3.51
68,Kulhudhuffushi,68,MV,1554210603,100,6.62,73.07,83.7,3.74
69,Hermanus,8,ZA,1554210115,58,-34.42,19.24,79,15.01
70,Busselton,0,AU,1554210606,33,-33.64,115.35,66.99,21.07
71,Lorengau,92,PG,1554210633,94,-2.02,147.27,84.15,8.77
72,Arzgir,92,RU,1554210644,99,45.37,44.21,44.1,11.9
73,Lyuban,0,BY,1554210654,54,52.8,28,49.14,7.87
74,Sungaipenuh,32,ID,1554210455,82,-2.08,101.38,71.28,1.61
75,Butaritari,76,KI,1554210674,99,3.07,172.79,83.88,11.01
76,Lagos,75,NG,1554206400,56,6.46,3.39,96.8,8.05
77,Jamestown,0,AU,1554210695,78,-33.21,138.6,53.01,2.95
78,Salmon Creek,90,US,1554210702,76,45.71,-122.66,54,3.36
79,Vestmannaeyjar,0,IS,1554206400,64,63.44,-20.27,33.8,26.4
